ORB, BRISK, 74.5123, 23.4967, 5.12964, 23.6656, 5.04062, 23.5853, 5.03899, 23.4637, 5.2518, 23.6073, 5.09916, 24.1126, 5.36555, 23.9085, 5.25102, 24.0918, 5.15521, 23.8936, 5.11506, 23.9033, 
ORB, BRIEF, 6.7863, 0.461901, 5.20205, 0.339042, 4.93535, 0.26319, 5.10258, 0.327853, 4.87306, 0.309104, 4.99115, 0.32534, 4.90581, 0.296831, 4.91831, 0.39811, 4.98283, 0.292082, 4.94362, 0.291526, 
ORB, ORB, 5.62855, 9.4765, 5.12581, 8.08995, 5.23277, 8.02718, 4.89516, 8.04366, 4.8639, 8.09842, 4.92882, 8.02137, 4.91721, 8.02033, 4.92287, 8.02165, 4.99318, 8.01172, 4.95738, 8.0805, 
ORB, FREAK, 5.01316, 21.5361, 5.35533, 19.3747, 4.95649, 19.6582, 4.86946, 19.3508, 4.92689, 19.3077, 4.88706, 19.3447, 4.94568, 19.5474, 4.92866, 19.3529, 4.97427, 19.3753, 5.09055, 19.3827, 
ORB, AKAZE,  Assertion failed
ORB, SIFT, 5.061, 17.5987, 5.12656, 16.165, 5.11991, 18.6402, 4.90108, 16.4619, 4.88703, 17.5139, 4.93335, 16.3475, 5.00246, 16.8554, 5.0252, 20.6149, 5.06452, 18.3533, 5.31525, 18.4615, 
AKAZE, BRISK, 45.4848, 30.8051, 45.2064, 36.6877, 42.6859, 33.1885, 45.8379, 33.5394, 45.4921, 36.0256, 49.2429, 36.4053, 48.0207, 33.0912, 43.4396, 33.6323, 48.0695, 32.9466, 44.4623, 32.8533, 
AKAZE, BRIEF, 49.543, 0.545932, 47.3384, 0.711897, 48.7396, 1.21415, 50.4559, 1.23241, 48.3832, 0.892462, 50.938, 1.74606, 51.6212, 1.27508, 48.6523, 0.766671, 52.5344, 1.32957, 51.1663, 1.24585, 
AKAZE, ORB, 54.2929, 9.72875, 51.9143, 8.0108, 50.6153, 8.95101, 48.9043, 8.11025, 52.2582, 8.01958, 48.9999, 8.01818, 49.213, 9.33266, 48.039, 8.91002, 51.2595, 8.11206, 50.0339, 8.67163, 
AKAZE, FREAK, 43.5706, 28.8139, 49.6361, 29.3374, 44.4084, 29.582, 43.2692, 29.0621, 44.68, 28.8794, 44.1468, 29.3959, 48.2646, 29.9125, 43.8241, 28.2689, 47.267, 28.0115, 42.3732, 28.2578, 
AKAZE, AKAZE, 51.9652, 42.9553, 55.1776, 36.8191, 58.8336, 45.0809, 55.2546, 35.363, 52.0639, 39.4721, 49.5906, 36.7001, 50.7321, 38.6045, 66.9777, 42.0825, 58.7541, 40.8984, 61.5917, 39.6848, 
AKAZE, SIFT, 63.2371, 23.2863, 65.3448, 24.2335, 53.5535, 22.8428, 52.7738, 21.2618, 60.5672, 24.8404, 52.288, 18.5552, 51.8083, 22.5267, 46.5763, 17.9203, 49.9814, 24.4258, 50.7063, 20.7976, 
SIFT, BRISK, 98.7407, 16.7307, 88.6393, 15.506, 87.1166, 15.4473, 82.1604, 15.1308, 82.3431, 15.0024, 83.1176, 14.227, 81.2504, 14.2493, 81.8585, 14.7996, 87.3078, 14.8721, 83.2137, 14.2977, 
SIFT, BRIEF, 85.5856, 0.729513, 81.2532, 0.723607, 83.044, 0.675823, 82.3321, 0.724831, 84.5777, 0.716108, 82.618, 0.73313, 84.8993, 0.721126, 81.6631, 0.781404, 85.8172, 0.83549, 83.3979, 0.72644, 
SIFT, ORB,  Insufficient memory
SIFT, FREAK, 85.2005, 25.3921, 82.6376, 25.1797, 82.9563, 25.1384, 79.7139, 23.9853, 79.324, 24.4295, 81.4879, 24.4342, 78.195, 23.976, 78.8659, 24.5583, 81.5093, 24.5026, 79.8227, 23.9581, 
SIFT, AKAZE,  Assertion failed
SIFT, SIFT, 89.0627, 53.2438, 62.7596, 52.9674, 68.4179, 56.5922, 64.2762, 54.348, 64.1599, 55.307, 84.246, 56.1996, 63.6843, 54.1395, 63.9187, 54.3418, 84.0596, 62.378, 65.6523, 54.2184,
